@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40'

@attribute nearestEnemyLeftDistance numeric
@attribute nearestEnemyLef_X numeric
@attribute nearestEnemyLeft_Y numeric
@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockLeftDistance numeric
@attribute nearestBlockLeft_X numeric
@attribute nearestBlockLeft_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
7.28,2,11,5.385,14,11,5,6,5,3.162,10,6,0,0,0,0,0,0,0,2
8.246,1,11,4.472,13,11,3,9,6,6,15,9,0,0,0,0,0,0,0,2
8.062,1,10,4.123,13,10,4,5,9,6.083,15,8,0,0,0,0,0,0,0,2
8,1,9,4,13,9,2,7,9,6.325,15,7,0,0,0,1,0,0,0,2
9,0,9,3,12,9,3,6,9,5.385,14,7,0,0,0,1,1,0,0,2
9,0,9,3,12,9,3,6,9,5.385,14,7,0,0,0,1,1,1,0,2
9,0,9,3,12,9,3,6,9,5.385,14,7,0,0,0,1,1,1,0,2
12.728,0,0,2,11,9,4,5,9,4.472,13,7,1,0,0,1,1,1,0,2
12.728,0,0,1,10,9,4,5,9,4.472,13,7,1,0,0,1,0,0,0,3
12.728,0,0,1.414,10,10,4.472,7,5,4.123,13,8,0,0,1,0,0,0,0,3
2,9,11,2.828,11,11,4.243,6,6,3,12,9,0,0,0,0,0,0,0,3
2,9,11,2.828,11,11,4.243,6,6,3,12,9,0,0,0,0,0,0,0,2
3,9,12,3.606,11,12,3.606,6,7,12.728,18,18,0,0,0,0,0,0,0,2
2.236,8,11,2.236,10,11,5,5,6,2,11,9,0,1,0,0,0,0,0,2
2.236,8,11,2.236,10,11,5,5,6,2,11,9,0,1,0,0,0,0,0,2
2.236,8,11,2.236,10,11,5,5,6,2,11,9,0,1,0,0,0,0,0,2
2.236,7,10,1.414,10,10,6.403,4,5,1.414,10,8,0,1,1,0,0,0,0,2
2.236,7,10,1.414,10,10,6.403,4,5,1.414,10,8,0,1,1,0,0,0,0,2
