@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40-weka.filters.unsupervised.attribute.Remove-R1-3,7-9'

@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
4.123,13,10,6.083,15,8,0,0,0,0,0,0,0,2
4,13,9,6.325,15,7,0,0,0,1,0,0,0,2
3,12,9,5.385,14,7,0,0,0,1,1,0,0,2
3,12,9,5.385,14,7,0,0,0,1,1,1,0,2
3,12,9,5.385,14,7,0,0,0,1,1,1,0,2
2,11,9,4.472,13,7,1,0,0,1,1,1,0,2
1,10,9,4.472,13,7,1,0,0,1,0,0,0,3
1.414,10,10,4.123,13,8,0,0,1,0,0,0,0,3
2.828,11,11,3,12,9,0,0,0,0,0,0,0,3
2.828,11,11,3,12,9,0,0,0,0,0,0,0,2
3.606,11,12,12.728,18,18,0,0,0,0,0,0,0,2
2.236,10,11,2,11,9,0,1,0,0,0,0,0,2
2.236,10,11,2,11,9,0,1,0,0,0,0,0,2
2.236,10,11,2,11,9,0,1,0,0,0,0,0,2
1.414,10,10,1.414,10,8,0,1,1,0,0,0,0,2
1.414,10,10,1.414,10,8,0,1,1,0,0,0,0,2
9.055,18,8,2.236,10,7,0,0,0,1,0,0,0,2
8,17,9,1.414,10,8,0,1,0,0,0,0,0,2
8.062,17,10,1,10,9,0,1,0,0,0,0,0,2
8.246,17,11,1,10,9,0,1,0,0,0,0,0,2
7.28,16,11,1,10,9,0,1,0,0,0,0,0,2
7.28,16,11,1,10,9,0,1,0,0,0,0,0,2
6.325,15,11,1,10,9,0,1,0,0,1,0,1,2
6.083,15,10,1.414,10,8,0,1,0,0,0,1,0,2
6.083,15,10,1.414,10,8,0,1,0,0,0,0,0,3
4,13,9,2.236,10,7,0,0,0,1,0,0,0,3
4,13,9,2.236,10,7,0,0,0,1,0,0,0,3
4,13,9,2.236,10,7,0,0,0,1,1,0,0,3
3,12,9,2.236,10,7,0,0,0,1,1,1,0,2
3,12,9,2.236,10,7,0,0,0,1,1,1,0,2
3,12,9,2.236,10,7,0,0,0,1,1,1,0,2
2,11,9,2.236,10,7,1,0,0,1,1,1,0,2
2,11,9,2.236,10,7,1,0,0,1,0,0,0,3
2.236,11,10,1.414,10,8,0,1,1,0,0,0,0,3
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,3
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
